date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:13:32	93636/93636	---M--	200	added ('OK')	text/javascript	etag:%223576a6e73c9dccdbbc4a2cf8ff544ad7%22	https://cdn.supercell.com/supercell.com/200703105203/all/modules/contrib/jquery_update/replace/jquery/1.8/jquery.min.js	/storage/emulated/0/HTTrack/Websites/Supercell/cdn.supercell.com/supercell.com/200703105203/all/modules/contrib/jquery_update/replace/jquery/1.8/jquery.min.js	(from https://supercell.com/en/)
17:13:32	20909/20909	---M--	200	added ('OK')	text/javascript	etag:%2248fc0e09e5d2e7b23e3e3f3dea57d6f0%22	https://cdn.supercell.com/supercell.com/200703105203/supercell.com/files/js/js_yTCa2RXav55fVNI_wUwf2R5swXmxn0IT6bcBEfF4qXQ.js	/storage/emulated/0/HTTrack/Websites/Supercell/cdn.supercell.com/supercell.com/200703105203/supercell.com/files/js/js_yTCa2RXav55fVNI_wUwf2R5swXmxn0IT6bcBEfF4qXQ.js	(from https://supercell.com/en/)
17:13:33	18304/18304	---M--	200	added ('OK')	text/html	etag:%2211e5fd27ff041d3d56d903a3f01dfd6a%22	https://supercell.com/en/news/introducing-brawl-stars-everyone/7458/	/storage/emulated/0/HTTrack/Websites/Supercell/supercell.com/en/news/introducing-brawl-stars-everyone/7458/index.html	(from https://supercell.com/en/)
17:13:34	49154/49154	---M--	200	added ('OK')	text/html	etag:%226679eade8bacd9103b25b0009a7beda6%22	https://supercell.com/en/news/10-learnings-10-years/7436/	/storage/emulated/0/HTTrack/Websites/Supercell/supercell.com/en/news/10-learnings-10-years/7436/index.html	(from https://supercell.com/en/)
17:13:34	18080/18080	---M--	200	added ('OK')	text/html	etag:%22dde39eefa6658f554ca1fadeb67ba930%22	https://supercell.com/en/news/welcome-neighborhood/7250/	/storage/emulated/0/HTTrack/Websites/Supercell/supercell.com/en/news/welcome-neighborhood/7250/index.html	(from https://supercell.com/en/)
17:13:34	14006/14006	---M--	200	added ('OK')	text/html	etag:%22864d289d6f11f4b32639e7f79a4b5292%22	https://supercell.com/en/s/	/storage/emulated/0/HTTrack/Websites/Supercell/supercell.com/en/s/index.html	(from https://supercell.com/en/)
17:13:34	5738/5738	---M--	200	added ('OK')	text/javascript	etag:%227ee1e6d549a14d0af21fc94f5f323a38%22	https://cdn.supercell.com/supercell.com/200703105203/supercell.com/files/js/js_lItpVUNZmIizHYk40_jeVxtOsARiWx7dgRpHZRCJv3A.js	/storage/emulated/0/HTTrack/Websites/Supercell/cdn.supercell.com/supercell.com/200703105203/supercell.com/files/js/js_lItpVUNZmIizHYk40_jeVxtOsARiWx7dgRpHZRCJv3A.js	(from https://supercell.com/en/)
17:13:35	22918/22918	---M--	200	added ('OK')	text/html	etag:%22c98bc0a5cd68962ab89543852d3b031b%22	https://supercell.com/en/news/	/storage/emulated/0/HTTrack/Websites/Supercell/supercell.com/en/news/index.html	(from https://supercell.com/en/)
17:13:35	17298/17298	---M--	200	added ('OK')	text/html	etag:%22c7662782b8f3d82ea681c89aa8d8f1e7%22	https://supercell.com/en/news/supercell-id-never-lose-your-game/7102/	/storage/emulated/0/HTTrack/Websites/Supercell/supercell.com/en/news/supercell-id-never-lose-your-game/7102/index.html	(from https://supercell.com/en/)
17:13:35	34373/34373	---M--	200	added ('OK')	text/html	etag:%222eab0e81960bd4d004134ad481958580%22	https://supercell.com/en/for-media/	/storage/emulated/0/HTTrack/Websites/Supercell/supercell.com/en/for-media/index.html	(from https://supercell.com/en/)
17:13:39	50594/50594	---M--	200	added ('OK')	text/html	etag:%229fa18debb0fd9837bd1a0519d82b5323%22	https://supercell.com/en/terms-of-service/	/storage/emulated/0/HTTrack/Websites/Supercell/supercell.com/en/terms-of-service/index.html	(from https://supercell.com/en/)
